puzzle_id,initial_fen,moves,rating,source_game_key
00CNA,rnbq1r2/pp1n2bk/3pB1p1/4P1N1/5P2/2p5/PPP3P1/R1BQK3 b Q - 1 13,h7h8 d1d3 d8g5 f4g5,2589,FSuTnQiL
00EUu,8/5P1P/1p4K1/8/6P1/8/2p5/k6r b - - 0 62,h1h6 g6h6 c2c1q g4g5 c1c6 h6g7,2505,u5HjwjcV
00EgR,N2k3r/1b1n1Bpp/p7/1pb1P3/6P1/4p3/PPP4P/1K1R3R w - - 1 20,e5e6 b7h1 d1d7 d8c8 d7c7 c8b8,1770,PfKZb868
00F1l,8/2k1b3/5p2/RBpK1Pp1/Pp1p2P1/3P4/2r5/8 b - - 2 45,b4b3 a5a7 c7b8 a7e7,836,By9yxCU0
00FOM,8/5k2/8/3pPPB1/1p4K1/1b6/8/8 b - - 0 45,b3d1 g4h4 d1a4 e5e6,2594,9wp9pR0Q
00GBV,3r1rk1/pp2n1pp/8/8/Nq6/1PB5/P3QPPP/4R1K1 b - - 1 25,b4d6 e2e7 d6e7 e1e7,1451,MksLS6CR
00GWg,1r1r2k1/pp4pp/2nNb3/2R2p2/2P1p3/8/P4PPP/3BR1K1 w - - 1 26,d6b7 b8b7 c5c6 b7b1 g1f1 d8d1 e1d1 b1d1 f1e2 e6d7,2091,M7Dta3mv
00H2L,8/8/2p2p2/p4P1p/Pk5P/4K1P1/8/8 w - - 1 39,e3d3 c6c5 d3e2 c5c4 g3g4 h5g4,2357,UMoEkwn0
00HGG,8/pp6/2p1kpp1/3p4/3P1PPp/1P3K2/P1P4P/8 w - - 0 31,g4g5 f6g5 f3g4 g5f4 g4f4 e6f6,1682,JyqJknFl
00Ivf,8/2p4r/1p3k2/p2Pp1p1/P1P1RpP1/1P3P1r/4R1K1/8 w - - 7 46,e4e5 h3h2 g2f1 h2h1 f1f2 h7h2,1563,VX0fLjAC
00Nej,6k1/1p3pp1/pB2qb1p/2P5/1P6/6QP/4r1P1/3R3K b - - 4 33,f6e5 d1d8 g8h7 g3d3 e6g6 d3e2,1008,P5XLEtLV
00OR6,2r4k/5Q1p/p7/1pq5/4p2N/2P3bP/PP4P1/4R2K b - - 0 34,g3e1 f7f6 h8g8 h4f5 c5f5 f6f5,2265,kMLJ7GPV
00PUc,3r3k/pp4bp/3Bn1p1/7n/8/8/PP3P1K/R4RN1 w - - 1 27,a1d1 d8d6 d1d6 g7e5 h2h1 e5d6,1394,F6OhRxfl
00Pbs,3r1rk1/Q3qppp/8/1ppb4/2Pn1B1n/2N3P1/PP3P2/R2R1K2 w - - 0 21,a7e7 d5g2 f1e1 h4f3,2088,fA2DSaPB
00PvP,8/6B1/7p/1p4p1/1Pp3P1/5P1k/4K2b/8 b - - 18 51,h6h5 g4h5 h3h4 h5h6 h4h5 h6h7,823,M7zTwdgr
00Rcs,3k4/ppp2p1r/4p2P/5n2/3Pp1N1/2P2K2/P1P3P1/7R w - - 0 30,f3e4 f5g3 e4f4 g3h1,863,6z8dEdCK
00S6g,r6r/p3kpbp/2Q1pnp1/q7/P2P1P2/1PP5/6PP/R1B2RK1 b - - 0 16,f6d5 f4f5 g6f5 f1f5 f7f6 c1a3 e7f7 c6d7 f7g6 f5f3,2755,jFCmK1qh
00TuA,8/6p1/8/pp2k1p1/2p2p2/2P1KPPP/PP6/8 w - - 0 37,e3f2 f4g3 f2g3 e5f5,2173,qtped91w
00UGu,7R/6rP/8/8/8/5p2/7K/5k2 w - - 5 67,h2h3 f3f2 h3h4 g7e7,2580,pBD1nBPz
00Ueq,r1b2rk1/pp4b1/n1pqp1Q1/4p3/2P2PP1/P2B4/1P6/R1B1K2R b KQ - 1 19,f8f6 h1h8 g8h8 g6h7,1671,CWZLKGkj
00VlM,1k6/1p2rp1p/1p4b1/1N1B4/2P2p2/3p3P/P2Rr3/2K2R2 w - - 4 34,f1f4 e2e1 c1b2 e7e2 b2c3 e1c1 c3d4 e2d2,2318,bUns6omN
00WNb,8/8/1KpB4/Pb6/1P5p/5k2/8/8 b - - 3 55,f3g2 a5a6 g2f3 a6a7,1051,y1pq4fXt
00Ygn,5rk1/p3Rp1p/5pp1/np1q4/r2P4/2P2N2/PQ3PPP/2R3K1 w - - 4 22,e7a7 a5c4 a7a4 c4b2,1495,B6LsArpZ
00eGy,8/6k1/pp2p3/3pPpp1/PPpP1n2/2P3KP/2R5/8 w - - 2 39,h3h4 f4h5 g3f2 g5g4,2261,6A7qLhc2
00fxc,4r2k/1pQ2p2/p4N1p/5P2/1P6/P1Pn1K2/4r3/6R1 w - - 1 36,c7f7 e8e3 f3g4 d3e5 g4h5 e2h2,2264,cFwPoNNu
00h8X,r4r1k/pp1q1pb1/2npbn1p/2p1p3/4P3/1BPP1Q2/PP3P1N/RNB2KR1 b - - 9 17,e6b3 c1h6 g7h6 f3f6 h8h7 h2g4 d7e6 a2b3 e6f6 g4f6,2532,8ji7Sjgz
00h8Z,5k2/p1R4R/1p4p1/3r3q/3P4/2P2rQp/PP5K/8 b - - 4 36,f3g3 c7c8 d5d8 c8d8,1537,UAWACryx
00huW,8/3k4/p6p/1p2Q1pP/3P2b1/1PP2qP1/P3p3/1K2R3 w - - 3 44,d4d5 f3d3 b1b2 d3d2 b2a3 d2e1,1841,twVFxiv1
00iLe,r1b1r1k1/pp1n1pb1/3p1q1p/2pP2p1/2P1B3/4PNB1/PPQ2PPP/2KR3R w - - 1 15,h2h4 e8e4 h4g5 h6g5,1836,fBB50Rwf
00iXO,r6r/pp2kB2/1bpR1p2/4p1p1/6b1/1QP3p1/PP3PP1/4R1K1 w - - 2 23,d6d2 b6f2 d2f2 h8h1 g1h1 g3f2,2632,asLbpMTy
00isc,2r2r1k/pp3pp1/1b5p/4P3/1q2RB2/1B1p1N2/PP2K1Q1/6R1 w - - 0 39,e2d3 f8d8 f3d4 d8d4 e4d4 b4d4,1490,O8KiRLof
00jdm,r3r1k1/ppp2ppN/3p4/2bq1b1Q/3p4/3B1P2/PPP4P/R1B3K1 b - - 2 22,g7g6 h7f6 g8g7 h5h4 e8h8 h4h8 a8h8 f6d5 f5d3 c2d3,2701,6snrVDus
00jhH,r7/2p1kp2/3p1np1/1p2p1N1/4P3/2PP2P1/1P2Q1PK/8 w - - 4 29,e2f2 f6g4 h2g1 g4f2,917,AXtraot9
00l1z,8/8/2p5/7R/2B4P/KP2knp1/P1P5/8 w - - 0 45,h5g5 f3g5 h4g5 g3g2,1278,rxdwGjw0
00lRC,8/3k1p1p/8/3Pp3/4K3/3P2P1/1pB4P/b7 b - - 1 36,d7d6 c2b1 f7f5 e4f5,2101,TLhjLF8g
00oxX,r2q1rk1/1R1b1pp1/2n2n1p/3p1B2/2pP1B2/5N2/2Q2PPP/1R4K1 b - - 4 22,d8c8 f5d7 f6d7 b7c7,2198,PRVGHACq
00pny,3r2rk/p3b2p/2n2p2/2pnNPPq/1p1p3P/3P1Q2/PPP3B1/R1B1R1K1 b - - 0 24,h5h4 e5f7 h8g7 e1e4,2617,dxcSKEfa
00qhV,3r4/1p2k3/2p2pn1/N3p1p1/P3P1Pp/2Pn1P2/1P2K2P/R1B5 w - - 1 21,a5b7 d3c1 a1c1 g6f4,2070,tCkPnOr2
00qmI,4k3/3n3P/p2PN1K1/8/1p6/2b5/8/8 b - - 0 51,b4b3 e6g7 c3g7 g6g7,1615,OTzPjgtI
00rTX,3r2k1/pp3ppp/4p3/2N5/7q/1Q3P2/PP1r2PP/3RR2K w - - 3 24,d1d2 h4e1,971,MCnmXb6q
00t3g,r2q1rk1/pp1n3p/2p3pQ/5Nb1/2P1p3/1P2P1P1/PB3PBP/R2R2K1 b - - 0 19,g5h6 f5h6,810,cnDFUHV0
00tTz,8/p6p/3b2pk/5p1n/2B4q/1P3P2/P5QP/5R1K w - - 10 35,f1d1 h5g3 g2g3 d6g3,1265,cDY5GbVr
00vZ1,2r3k1/6p1/R3p1r1/8/3PPp2/2P2P1p/P1R3P1/6K1 w - - 0 36,a2a4 c8b8 g1h2 h3g2,2244,PwiyhVrB
00wUm,5rk1/pR1Q1ppp/4N3/3p1n2/8/7P/q1r2PP1/4R1K1 b - - 0 28,c2f2 d7f7 f8f7 b7b8 f7f8 b8f8,1577,nBCoCtRO
010MJ,3r2k1/pR3pp1/8/5p1p/3n1q2/5P2/PP4R1/6QK b - - 4 29,d4f3 g2g7 g8h8 g7h7 h8h7 b7f7 h7h8 g1g7,1599,TZpqMy3A
011EP,1r2k3/2q1npp1/p3p1p1/3pP1P1/1p1NnP1r/1P2Q3/P1P1N3/1K1RR3 b - - 0 23,e8d7 d4f3 d7e8 f3h4,2241,kVorefr5
011LP,8/2k4p/p3Pp2/1p6/1P1Kp3/P7/6PP/8 b - - 1 36,f6f5 g2g4 f5g4 d4e4,2080,dTjUhKxj
0165r,8/7r/2R4P/6k1/4p3/8/4KP2/8 b - - 4 51,h7h6 c6h6 g5h6 e2e3 h6g5 e3e4 g5f6 e4f4,1809,0zQouwGT
019Ma,8/p1k5/P1P1ppp1/2K4p/5P1P/6P1/8/8 b - - 1 48,e6e5 c5d5 e5e4 d5e4 c7c6 f4f5,2592,m3vIWZSu
019R9,r4rk1/ppp2ppp/8/8/1P1P2nq/P1B1P2P/4NnPN/R2Q1RK1 w - - 0 18,f1f2 h4f2 g1h1 g4e3 d1g1 f2e2,1446,RRZXxNLk
01AO3,6k1/8/2p3p1/3pp2p/1P5P/2P2P2/6P1/6K1 w - - 0 34,g2g4 g6g5 h4g5 h5h4,2645,lrIgN0wg
01BBu,2r5/3R4/2P2p2/1P3P2/7k/6pp/1K6/8 w - - 2 48,d7h7 h4g4 c6c7 c8c7 h7c7 h3h2 b5b6 h2h1q,2603,xI6LfrwV
01Cry,3r2k1/1pq2pbp/3r2p1/1QnB4/8/4P2P/PP3PP1/1RBR2K1 w - - 3 24,b5c4 b7b5 c4c2 d6d5 d1d5 d8d5,1977,lpZHNbz6
01EQu,8/2n5/8/Pkp1K3/2N5/8/8/8 w - - 7 57,e5d6 b5c4 d6c7 c4b5 a5a6 b5a6,1887,PXioHcpt
01FAd,8/8/8/8/3R1pkP/1r6/6K1/8 w - - 1 46,h4h5 b3b2 g2f1 g4g3 d4d6 b2b1 f1e2 f4f3 e2e3 b1e1,2286,MNrpQKfz
01IX7,1k2r3/1p3ppp/3p4/2n5/1rPN4/1P3P2/P5PP/2KR1R2 w - - 1 23,f1e1 e8e1 d1e1 c5d3 c1d2 d3e1,1341,SN4RFfBg
01J8c,r1bqk2r/pp2bpp1/2p1pn1p/4N3/3PNQ2/2P3P1/PP3PBP/R3K2R b KQkq - 4 13,f6e4 f4f7,836,p8782uZk
01LSB,8/8/p3k1p1/Pp1pB3/3PnK2/1P6/6P1/8 w - - 2 38,b3b4 e4f2 e5c7 f2d3,2488,5JrKbdvP
01M2U,1k5r/pp4p1/7r/3p2p1/3P2R1/2P1pP1P/PP2Bb2/K6R w - - 0 38,e2f1 h6h3 f1h3 e3e2 h1b1 h8h3,2279,L4WpZJZC
01M7o,r5r1/p3kp1p/2q1p3/2p2p2/5Q2/6N1/PPP3PP/3R2K1 b - - 1 21,a8d8 f4h4 f7f6 h4h7 e7f8 d1d8,1679,tR0ImCxU
01M89,8/2p5/1p2B3/p7/5r2/P4pN1/1PP4k/1K4R1 w - - 1 59,g3e2 f3e2 g1e1 f4f1 b1c1 f1e1,1161,XOFOkMQr
01QK3,r4rk1/p4p1p/2p1b2R/3q4/2P2Qp1/8/PP4PP/5R1K b - - 0 23,d5c5 f4e4 f7f5 e4e6 f8f7 h6h7,2572,Nm6Tpy4t
01QTc,R1b3k1/4pp1p/3p2p1/2pP4/2P1PP2/2Q2B1P/5qPK/1r6 b - - 9 27,h7h5 a8c8 g8h7 c3h8,810,YTB6JMoe
01Qnk,4Q3/2p2ppk/p2bb2p/4N3/3PPP1q/2P5/Pr4PP/RN3RK1 w - - 1 17,e5f7 h4g4 e8h8 h7g6 b1d2 b2d2 f7e5 d6e5,2756,K93YlVyz
01S0o,rq3rk1/p1pn1p2/1pQ1p2p/1N2P1p1/2P3n1/8/PP3PPP/R3KB1R w KQ - 3 17,b5c7 d7e5 c6a8 b8c7 a8e4 c7c5 e4c2 f8d8,2400,w4256bcb
01YQ2,5rk1/pp1n1pp1/4r1qp/2p2R2/2PB4/P1Q2R1P/1P4P1/6K1 w - - 0 28,d4g7 g6g7 f3g3 e6g6,1657,5lefhYAM
01YsU,3r3k/1K2bQp1/4P2p/1Pp5/2P5/r7/8/8 b - - 7 43,d8a8 b5b6 e7d6 b7c6,2685,3CbNxgTj
01Z4Y,2r2rk1/3b1p1p/3p3P/p2Np1q1/1p2Q3/8/PPP5/1K1R3R b - - 1 23,d7f5 e4f5 g5f5 d5e7 g8h8 e7f5,1913,lewmaBBy
01aP9,r2q1rk1/1b1n2b1/p5P1/1pp1pp1Q/4p3/2PPB2R/PPN3PP/R5K1 b - - 0 19,f8f6 h5h7 g8f8 e3h6 g7h6 h3h6,2245,YgryVpMg
01bhr,8/R1R2ppk/3qp1bp/pB6/P7/4P2P/5QPK/3r4 w - - 11 34,f2g3 d1h1 h2h1 d6g3,1096,Udi1oVk2
01cHu,4r1k1/2q1Ppp1/2pR1n2/p4NpP/8/PQ6/2P5/2K5 w - - 1 31,d6f6 g7f6 f5h6 g8h8 h6f7 h8g7 h5h6 g7g6,2686,vjALO2rC
01dME,5r1k/p1q3pp/b1p2b2/2p1Np2/2P1P3/5P2/PQ4PP/1R1R2K1 w - - 1 25,d1d7 c7e5 b2e5 f6e5,1681,gqzLbtPb
01dsW,2R2bk1/7p/6p1/3p1p2/1r1Bp3/4P1P1/5PKP/8 b - - 1 36,g8f7 c8f8 f7f8 d4c5 f8f7 c5b4,1555,fJOJ9Qw4
01e9g,8/7p/1p4p1/p1kp1pP1/P4P1P/1PPK4/8/8 b - - 0 32,c5c6 d3d4 c6d6 c3c4 d5c4 b3c4 d6c6 d4e5 c6c5 e5f6 c5c4 f6g7,2739,q6CYyMnO
01fTa,3r2k1/6pp/p7/4Bb2/5N2/4RP2/PPr3PP/3K3R w - - 2 25,e3d3 f5d3 f4d3 c2g2 d1c1 d8d3,2271,eNDWgYGn
01fsb,3q1rk1/1R3ppp/r5b1/p1bN4/6P1/5N1P/P1P2P2/3QR1K1 w - - 1 18,b7d7 d8d7 d5f6 a6f6 d1d7 f6f3,2025,8n74QdMs
01iU9,5q1k/pbb5/1p2BnQ1/2p1p3/4P3/8/PPPN1P2/6RK w - - 3 40,g6g8 f6g8 g1g8 f8g8 e6g8 h8g8,1382,eIim0OI7
01k4m,r1bqr1k1/1p2bppp/p4n2/3p2B1/8/2PB1N1P/PP2Q1P1/RN2R1K1 w - - 4 15,b1d2 e7c5 g1h1 e8e2,1352,NGD3XQIZ
01k7T,6k1/pBp2ppp/7r/1P5q/2PPN1b1/P7/3Q1PP1/R5K1 w - - 7 25,e4g3 h5h2 g1f1 h2h1 g3h1 h6h1,1315,CWyiEGck
01l01,2k5/1pp2pp1/4pnp1/7r/1p1q4/2r2PQP/B5P1/R2R3K b - - 3 28,d4c5 a2e6 f7e6 a1a8,1044,JzwfjHwS
01mWJ,8/8/7p/2k1p1p1/4N1P1/r4PN1/4K3/8 b - - 1 58,c5d4 g3f5 d4c4 f5h6,2008,8TM1vZyY
01mZT,8/8/2k5/8/8/r2NK1P1/5P2/8 b - - 1 63,a3a2 d3b4 c6d6 b4a2,904,PhMccyP2
01naC,r1bq1b1r/1ppk1Qp1/p1n1p2p/3n1p2/3PN3/2PB2B1/PP3PPP/R3K1NR b KQ - 3 11,f8e7 e4c5,1258,ZLj3rQvL
01oTk,q1nb2k1/5pp1/7p/NQ1Pp3/1BP1n3/8/4B1PP/6K1 w - - 0 32,e2f3 c8d6 b5d7 d8a5 b4a5 a8a5,2713,0LcCFoCz
01p6X,r2q4/1p2Np1k/p2p2rn/2p5/4P2Q/7P/PPP3P1/5RK1 b - - 2 27,d8d7 f1f7 g6g7 f7f6 d7e7 f6h6 h7g8 h6h8,2520,WvyBfJYA
01qfU,r2q1k1r/pppN1p2/3pb2p/6p1/2nQ4/8/PPP2PPP/R4RK1 b - - 5 16,d8d7 d4h8 f8e7 h8a8,878,qBk26Y80
01sLK,4q3/2r2p1k/4pRrp/4P2Q/2ppPB2/8/1PP3P1/7K b - - 3 37,e8f8 h5g6 f7g6 f6f8,1821,MBIZxdJr
01vUA,r4rk1/p1pN3p/1p2pppP/8/8/2B5/PPP3b1/2K2R1R b - - 1 23,f8f7 d7f6 f7f6 c3f6,2055,hRdjeCoO
01vsS,8/2p5/1p1p1Pk1/p1nP2N1/P1P2K2/8/8/8 w - - 2 48,g5e6 c5e6 d5e6 g6f6,1502,b7zg0CD6
01xXd,8/5p2/p3pkp1/1p1b4/1P1R2PP/P3KP2/8/8 w - - 1 48,e3f4 e6e5 f4e3 e5d4,844,0l2y8XD9
01z4c,3QN1k1/1p3pb1/2r1p1p1/3pP3/3P3p/1B5P/PP3KP1/2r2n2 b - - 5 31,c6c8 e8f6,926,MUMuE0Jk
01zXk,6k1/5p2/4p1r1/2Q3P1/7P/8/r7/6K1 b - - 0 49,f7f6 c5c8 g8h7 c8b7 h7h8 b7b1,2543,sWqqc3n6
0218S,8/8/8/3B4/5ppk/6p1/6K1/8 w - - 2 55,d5e6 f4f3 g2h1 h4h3 e6d5 g3g2 h1g1 h3g3 d5f3 g3f3,2252,t4k1RSvL
022Dh,5r2/p3p1kp/1p4p1/4rp2/2P5/3P1Q1P/R3K1P1/2q2BNR w - - 7 32,e2f2 c1e1,1141,mdUHn4jB
024qY,r4r1k/pp4pp/4Q1p1/2P5/3B4/2P2Pq1/P2n2P1/R4RK1 b - - 2 23,a8e8 e6d7 d2f3 f1f3 e8e1 a1e1 g3e1 g1h2,2019,uituZtqb
025si,rq1r2k1/5p1p/1pRN2p1/1P6/3b4/3P2PP/5P2/3Q1RK1 w - - 6 28,d6e4 f7f5 g1g2 f5e4,2014,nqcImn2C
026Tf,8/8/1p2k1pp/p2p4/3K1PPP/1PP5/8/8 b - - 0 37,e6d6 c3c4 d5c4 d4c4,2649,Yem2gd8Q
02D70,1r4k1/pr2bpp1/2p3b1/3n2B1/N1B5/P4P2/KP5P/R5R1 w - - 5 24,g5e7 b7b2 a4b2 d5c3,1812,WoBXMicu
02D9n,2rk1b1r/pQ1bp1pp/3pP3/5q2/2n2N2/7P/PP1B1PP1/R4RK1 b - - 0 21,c4d2 b7d7,1251,SGy9v8xk
02DlC,5rk1/p3ppbp/3p2p1/q5P1/2nPQ3/2N5/Pr2N2P/R1B2K1B w - - 0 20,c1b2 c4d2 f1f2 d2e4,996,2tZ78ci2
02GOZ,8/8/8/2R5/P4pB1/6b1/1P3pK1/4k3 w - - 1 46,c5c8 f2f1q,920,8KJMNIVb
02HgU,4r1k1/p4ppp/2pb4/2pp4/5P2/2PP2qP/PP4P1/RNB2QK1 w - - 3 21,b1d2 e8e1 d2f3 e1f1,1833,mNF8xyqo
02Ht4,r1b2rk1/1pR3b1/3q2p1/1Q1Pp2p/4P2P/5p2/B4PP1/R4NK1 w - - 0 25,g2g3 d6c7 d5d6 a8a2 d6c7 a2a1,2420,B8bFeLSf
02J4S,r4r2/pp1q1p1k/2p1n2B/4Pp2/2Pb3Q/P7/6PP/3R3K b - - 1 26,h7g6 h6f8 e6f8 d1d4 d7d4 h4d4,2733,2GjU6yGW
02K3C,r1b1kb1r/pp2pppp/2n2n2/3P4/2B5/q4N2/P2B1PPP/1R1QK2R b Kkq - 2 11,c8g4 d5c6 b7c6 d2b4 a3b4 b1b4,2134,rSiFHwLh
02Kg8,r7/Q4pk1/4pq1p/3p2p1/1R6/2P4P/Pr3PP1/4R1K1 w - - 3 26,a7a8 f6f2 g1h2 f2g2,1237,80MS33pu
02Klg,r5k1/p2bbppp/1p2p3/N2p4/1P2rB2/2P1P3/1P3PPP/R2R2K1 w - - 0 20,f2f3 e4f4 e3f4 b6a5,1475,BHrg2N7h
02LPW,6k1/p1n5/3p2p1/2pPp1Pp/1p2P3/3PB1P1/PPK5/8 b - - 5 35,a7a5 c2b3 h5h4 g3h4,1941,LZQk7XNb
02LST,8/R7/2P4k/3n3p/P5p1/4P1P1/r4PKP/8 w - - 2 39,c6c7 d5e3 g2h1 a2a1,1262,o57hZvVg
02MZc,8/2p5/p2k1p2/2p1p1p1/1PP1P1P1/P3KP2/8/8 w - - 0 40,e3d3 c5b4 a3b4 d6c6 d3c3 c6b6 b4b5 a6b5,2625,GhOQBq6V
02N3Q,8/p1P4R/1brB4/1P1pp3/4k3/P7/K7/8 b - - 0 49,c6c4 h7h4 e4e3 h4c4,897,2SH9PQCF
02OC6,r1bq1rk1/6pp/p2b4/1p1pB3/6P1/2PQPN2/PP5P/R4RK1 b - - 0 18,c8g4 d3d5 g8h8 e5d6 g4f3 f1f3,2035,WeTbdktL
02Qwi,r1b2rk1/2qn1ppp/8/2p1p1N1/1p6/1B6/1PP1QPPP/3R1RK1 b - - 0 18,c8a6 d1d7 c7d7 e2e4 g7g6 b3f7 f8f7 e4a8,2620,FQeb6mVH
02RJH,7k/5pp1/7p/Q3n3/5q2/2P3RP/P4PPK/1r6 b - - 2 36,f4f2 a5a8 h8h7 a8e4 g7g6 e4b1,1923,TQKEWvKX
02SQO,k1r5/1p3pQ1/4p2p/p1q4P/5P2/6P1/PP6/1K1R4 w - - 1 33,g7h7 f7f5 a2a3 c5c2 b1a2 c2d1,1758,epjwWUlC
02UN2,8/8/3k4/8/p3R2r/P2K4/1P6/8 b - - 8 56,h4e4 d3e4 d6c5 e4e5 c5c4 e5d6,2398,49fy2GPo
02Vpq,5kr1/5pr1/1p1p1q1n/1N1Pp2p/4P3/1NQ2P2/1PP4P/5R1K b - - 4 31,f6g5 c3c8 f8e7 c8c7 e7e8 c7c6,2779,ai1lwOek
02VyL,r4rk1/pb3pp1/4pn1p/1Q2N1q1/4P3/2b4P/PP3PPB/R4RK1 w - - 0 24,b5b7 c3e5 h2e5 g5e5,1360,M02MEPUw
02eUP,rn2k2r/pbppq1pp/1p2p3/5p2/2PPn3/2NBPN2/PP3PPP/R2QK2R w KQkq - 0 9,c3e4 f5e4 d3e2 e4f3,1379,pdbkEmBv
02eak,3Q4/1N4pk/p2P3p/1b3p2/3q4/P6P/2P2KP1/4R3 w - - 0 37,e1e3 d4d2 f2f3 b5c6 f3f4 d2d4,2576,6O5YO2zz
02fKi,r2q1nr1/pp2pk1R/2p1pb2/3p1nB1/3P1NQ1/2N5/PPP2P2/2KR4 b - - 2 18,f8h7 g4h5 f7g7 f4e6,1777,lGlRAQCM
02gM8,4k1r1/8/p7/2pP2b1/P5p1/7p/2BNr1PP/R4R1K w - - 0 34,f1e1 h3g2 h1g1 g5e3,1541,60hPrcKx
02gTy,2k5/2B4R/1P4p1/3p1p2/3Kn3/8/1r5P/8 w - - 1 40,d4d5 e4f6 d5e6 f6h7,1354,GnJapYlb
02hwW,5r1k/2q3rp/p2Rp1p1/6Pn/1pB1P3/4QP2/PPP5/2K2R2 w - - 1 25,e3d3 h5f4 d3d4 e6e5 d4e5 c7c4,1983,WfaiHbXX
02iLq,r6k/pR5p/2p2N2/4n3/3p4/7P/2q3P1/4R2K b - - 0 32,c2d2 b7h7,1018,J5wotFMa
02jvv,3rr1k1/ppp1qp1p/6p1/7P/4BQ2/P4N2/1bP2PP1/3R1RK1 b - - 0 27,e7e4 f4e4 e8e4 d1d8,1692,rIjURFSY
02lAT,2rr1n1k/1p3p2/pq2pN1p/2b1P3/4Q3/P4N1P/1P3PP1/5RK1 b - - 3 23,c5d4 e4f4 d4e3 f2e3,2418,XTIr4hDJ
02mTT,2r1k2r/pp2bpp1/4p3/P2pP2p/1P1NnP2/2Pq4/3B2PP/R2Q1R1K w k - 1 21,d2e1 d3f1,1225,grDN19RN
02nTH,3r4/pQ2pkbp/2n3p1/2q3B1/8/P4N2/1P3PPP/4R1K1 w - - 0 24,e1c1 c5c1 g5c1 d8d1 f3e1 d1e1,885,zKeqH5f5
02pxy,5nk1/4q2p/6pQ/p2p4/3P4/5N1P/1r3PP1/R5K1 w - - 0 28,a1a5 b2b1 g1h2 e7c7 f3e5 c7a5,1407,E6ibrYsl
02tV1,5r2/p2pbN1Q/1k3qp1/1p4p1/4R3/2PP4/PP3PPP/R5K1 w - - 2 22,f7e5 f6f2 g1h1 f2f1 a1f1 f8f1,885,YgTi37hi
02uIX,2r5/8/p7/3R2pk/1P3pp1/8/PP3PKP/8 w - - 0 34,a2a4 f4f3 g2g3 c8c1 h2h3 c1g1 g3h2 g1g2,2129,XcgohB7X
02uVI,8/1k6/2p5/p1P5/1p1qpQ2/1P6/P4P2/5K2 w - - 0 51,f4e3 d4e3 f2e3 b7a6,2187,YqfS1aqu
02vbv,r2qk2r/1Np3p1/4p2p/3pn3/P3n3/2P5/1P3RPP/R1BQ2K1 b kq - 0 16,e4f2 d1h5 e5f7 b7d8,1614,GIUkIWto
02viV,r4rk1/1p3ppp/p1n1b3/2NpP3/3P4/P1qB3P/5PP1/2RQ1RK1 b - - 6 18,c3d4 c5e6 f7e6 c1c6 d4d3 d1d3,1801,9tfb2Jv3
02vy3,8/7p/2Pk4/p1nB2K1/2P5/6PP/5P2/8 w - - 1 46,g5h6 a5a4 h6h7 a4a3,1055,rnjhPhdw
02w7d,3k4/3P3p/p2Q1pp1/1p3p2/8/Pq3P2/1P3PKP/8 b - - 2 35,b3b2 d6c6 b2c1 c6c1,2081,d2KCDa0f
02weX,r1b2rk1/pp1pqpbp/6p1/3nP3/2p2P2/P5Q1/1PP1B1PP/RNB2RK1 w - - 0 13,e2c4 e7c5 g3f2 c5c4,1103,XL9mj2V9
